Name,Team,IP,Loc+ FA,Loc+ SI,Loc+ FC,Loc+ FS,Loc+ SL,Loc+ CU,Loc+ CH,Loc+ KC,Loc+ FO,Stuff+,Location+,Pitching+,NameASCII,PlayerId,MLBAMID
"Jonathan Loáisiga","NYY",21.2,86.628,105.2978640776699,,,,84.13581395348838,106.33151515151515,,,131.34336338300534,101.41110738255034,131.45187464452283,"Jonathan Loaisiga",19753,642528
"Jacob deGrom","TEX",41,104.33904458598725,,,,109.72558494566658,113.62142857142858,116.9904,,,121.43038738794552,107.69736165131931,129.64128451090272,"Jacob deGrom",10954,594798
"Emmanuel Clase","CLE",147,127.6329411764706,158.09,97.79586070959267,,100.36326690676269,,,,,130.9097470784671,99.13778521406323,128.70218553761268,"Emmanuel Clase",21032,661403
"Félix Bautista","BAL",61,97.18306122448979,,,93.14467213114756,70.85957446808511,,,,,126.45608883405302,95.99822331893888,127.0637014188773,"Felix Bautista",20666,642585
"Griffin Jax","MIN",136.1,118.94660649819497,109.40304824425588,109.21600000000002,,113.90003929931932,113.25636363636362,118.80575645756458,,,111.09653153378129,115.34717354012815,125.5586499918527,"Griffin Jax",20253,643377
"Brusdar Graterol","LAD",74.2,105.84713781631214,110.97103139013453,97.22365371971266,,106.65147681451614,,,,,121.4403389291165,106.14283936747091,124.23597960840343,"Brusdar Graterol",20367,660813
"Seth Halvorsen","COL",12.1,106.37151515151515,125.3035294117647,,122.124,101.06428571428572,,,,,113.77114285714283,111.40447619047619,123.95961904761904,"Seth Halvorsen",33294,678020
"Orion Kerkering","PHI",66,110.70418461538458,100.95542168674696,,,108.45354574211271,,,,,119.65037690380684,107.8330592345473,123.7539594961457,"Orion Kerkering",31776,689147
"Tyler Rogers","SFG",144.1,67.41,111.60380873866445,,,103.62192840258376,,,,,122.00307424380362,108.44792530105921,123.03148257505032,"Tyler Rogers",15541,643511
"Yennier Cano","BAL",132.2,116.69544827586209,102.84029602220166,,,103.17777455716586,,126.72627599243859,,,112.94964975122642,110.22615313216308,122.0386680137186,"Yennier Cano",25911,666974
"Ryan Helsley","STL",103,101.68638743455497,,,,92.98579494799408,87.97465346534653,,,,127.1991456092592,96.99158944479711,121.86913982016983,"Ryan Helsley",18138,664854
"José Alvarado","PHI",103,,101.33406220546652,100.06016438356163,,,86.78666666666668,,,,114.91990948734441,101.00302177068545,121.63852606891496,"Jose Alvarado",17780,621237
"Blair Calvo","COL",1,,162.84,,,69.78,,,,,96.88545454545452,112.08000000000001,121.31454545454545,"Blair Calvo",25416,663971
"Tanner Scott","- - -",150,95.2569389373513,,,,101.10228473383665,,-59.920000000000016,,,123.71265535391511,97.96029359525868,120.54836299256728,"Tanner Scott",17586,656945
"Marc Church","TEX",1,119.14,,,,115.38,,,,,109.95333333333333,117.13466666666666,120.05866666666667,"Marc Church",26353,687847
